"","C10%-n150 SD","C10%-n150 SE","C10%-n300 SD","C10%-n300 SE","C10%-n600 SD","C10%-n600 SE","C10%-n900 SD","C10%-n900 SE","C20%-n150 SD","C20%-n150 SE","C20%-n300 SD","C20%-n300 SE","C20%-n600 SD","C20%-n600 SE","C20%-n900 SD","C20%-n900 SE"
"w 1 ",0.05,0.069,0.038,0.048,0.029,0.034,0.022,0.028,0.056,0.07,0.04,0.049,0.03,0.035,0.021,0.028
"mu1 1 ",0.161,0.165,0.096,0.114,0.084,0.082,0.058,0.066,0.182,0.169,0.108,0.118,0.084,0.084,0.058,0.069
"mu2 1 ",0.16,0.162,0.106,0.112,0.079,0.078,0.06,0.063,0.176,0.168,0.114,0.116,0.084,0.081,0.062,0.066
"mu3 1 ",0.166,0.157,0.118,0.111,0.072,0.077,0.059,0.063,0.171,0.162,0.124,0.116,0.072,0.08,0.064,0.066
"sig11 1 ",0.282,0.305,0.173,0.197,0.121,0.137,0.12,0.11,0.356,0.375,0.221,0.243,0.148,0.167,0.136,0.138
"sig21 1 ",0.171,0.176,0.118,0.117,0.075,0.08,0.061,0.065,0.19,0.185,0.13,0.125,0.073,0.084,0.066,0.07
"sig22 1 ",0.324,0.29,0.168,0.197,0.119,0.13,0.108,0.104,0.339,0.321,0.2,0.219,0.136,0.144,0.123,0.117
"sig31 1 ",0.157,0.168,0.117,0.116,0.072,0.081,0.068,0.066,0.182,0.179,0.117,0.126,0.077,0.087,0.071,0.072
"sig32 1 ",0.173,0.172,0.107,0.118,0.078,0.079,0.062,0.063,0.191,0.176,0.104,0.123,0.086,0.081,0.064,0.067
"sig33 1 ",0.296,0.282,0.168,0.195,0.127,0.127,0.1,0.104,0.334,0.334,0.202,0.232,0.144,0.15,0.116,0.123
"nu 1 ",0.118,0.127,0.071,0.081,0.05,0.053,0.036,0.042,0.125,0.154,0.078,0.096,0.055,0.06,0.039,0.048
"rho 1 ",0.078,0.079,0.037,0.044,0.018,0.024,0.015,0.018,0.071,0.109,0.048,0.052,0.022,0.026,0.017,0.021
"mu1 2 ",0.159,0.169,0.093,0.115,0.072,0.081,0.069,0.066,0.164,0.171,0.1,0.117,0.072,0.082,0.069,0.067
"mu2 2 ",0.143,0.151,0.092,0.106,0.074,0.074,0.064,0.061,0.151,0.155,0.092,0.109,0.079,0.077,0.066,0.062
"mu3 2 ",0.161,0.164,0.094,0.11,0.079,0.078,0.059,0.063,0.17,0.167,0.093,0.112,0.077,0.08,0.058,0.065
"sig11 2 ",0.285,0.41,0.195,0.215,0.117,0.145,0.116,0.12,0.29,0.491,0.207,0.226,0.121,0.148,0.119,0.124
"sig21 2 ",0.17,0.23,0.123,0.143,0.092,0.096,0.081,0.078,0.182,0.269,0.131,0.149,0.095,0.101,0.084,0.081
"sig22 2 ",0.254,0.379,0.187,0.208,0.131,0.142,0.119,0.115,0.269,0.452,0.201,0.228,0.148,0.158,0.122,0.126
"sig31 2 ",0.218,0.26,0.134,0.145,0.086,0.101,0.079,0.082,0.226,0.31,0.148,0.151,0.09,0.104,0.083,0.085
"sig32 2 ",0.159,0.227,0.131,0.138,0.093,0.097,0.078,0.078,0.163,0.27,0.142,0.143,0.096,0.101,0.08,0.081
"sig33 2 ",0.316,0.402,0.171,0.204,0.117,0.142,0.102,0.116,0.307,0.483,0.183,0.214,0.124,0.147,0.107,0.12
"nu 2 ",0.133,0.355,0.082,0.103,0.058,0.07,0.045,0.056,0.132,0.535,0.084,0.115,0.063,0.074,0.047,0.059
"rho 2 ",0.154,0.367,0.076,0.086,0.039,0.054,0.034,0.041,0.174,0.609,0.078,0.098,0.037,0.057,0.035,0.043
